,client_id,credit_limit_initial,credit_limit,add_product,mp_first_login,mp_last_login,tp_num,cl_age,education_id,gender_id,marital_status_id,employment_status_cd,city_population_category,app_channel,Авто и запчасти frequency,Авто и запчасти amount,Аптеки frequency,Аптеки amount,Детские товары frequency,Детские товары amount,Досуг и развлечения frequency,Досуг и развлечения amount,Заправки frequency,Заправки amount,Зоотовары frequency,Зоотовары amount,Интернет-магазины frequency,Интернет-магазины amount,Кафе и рестораны frequency,Кафе и рестораны amount,Косметика и парфюмерия frequency,Косметика и парфюмерия amount,Красота и здоровье frequency,Красота и здоровье amount,Мебель и товары для дома frequency,Мебель и товары для дома amount,Одежда и обувь frequency,Одежда и обувь amount,Подарки и развлечения frequency,Подарки и развлечения amount,Прочее frequency,Прочее amount,Путешествия frequency,Путешествия amount,Спорт frequency,Спорт amount,Страхование frequency,Страхование amount,Такси и грузоперевозки frequency,Такси и грузоперевозки amount,Товары для ремонта frequency,Товары для ремонта amount,Электроника frequency,Электроника amount,Ювелирные изделия frequency,Ювелирные изделия amount
3673,34107540,45000.0,75000.0,Халва,2018-04-27 00:00:00.000,2019-03-06 00:00:00.000,,27,6,2,1,EME,>700 тыс,Internet Sales,0,0.0,0,0.0,0,0.0,0,0.0,29,11110.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,9637.779999999999,1,5590.0,0,0.0
3674,34152235,20000.0,20000.0,Халва,2018-04-11 00:00:00.000,2018-12-24 00:00:00.000,,43,-1,1,-1,UNK,0 – 100 тыс,Internet Sales,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1405.0,0,0.0,0,0.0
3675,34163079,15000.0,15000.0,Халва + Вклад,2018-04-20 00:00:00.000,2019-03-06 00:00:00.000,,30,-1,1,5,UNK,300 – 700 тыс,Walk In Sales,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,171.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3676,34165233,15000.0,15000.0,Халва + Автокредит,2018-04-18 00:00:00.000,2019-02-28 00:00:00.000,,39,4,1,1,EME,300 – 700 тыс,AutoCred,0,0.0,0,0.0,0,0.0,0,0.0,30,26632.65,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3677,34228365,15000.0,15000.0,Халва + Вклад,2018-05-28 00:00:00.000,2019-03-08 00:00:00.000,,66,6,2,4,PNS,0 – 100 тыс,Walk In Sales,0,0.0,0,0.0,0,0.0,0,0.0,11,15920.460000000001,0,0.0,0,0.0,1,175.07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,890.0,0,0.0
3678,34285692,50000.0,50000.0,Халва,2018-05-26 00:00:00.000,2019-03-03 00:00:00.000,,41,-1,1,2,OTH,300 – 700 тыс,УРМ,0,0.0,7,2664.0,4,1616.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23,4383.499999999999,0,0.0,1,2576.0,5,7845.0,0,0.0,12,4625.900000000001,0,0.0,0,0.0,0,0.0,0,0.0,2,735.0,4,940.0,0,0.0
3679,34294833,30000.0,30000.0,Халва,2018-05-18 00:00:00.000,2019-03-09 00:00:00.000,,42,3,1,1,EME,0 – 100 тыс,Internet Sales,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,1679.08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1206.0
3680,34319358,30000.0,90000.0,Халва,2018-04-01 00:00:00.000,2019-03-07 00:00:00.000,,36,6,1,2,EME,>700 тыс,Walk In Sales,0,0.0,3,1901.0,1,133.0,0,0.0,2,2129.0,0,0.0,0,0.0,6,548.0,0,0.0,0,0.0,0,0.0,5,8766.0,1,697.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,5950.0,0,0.0
3681,34358560,15000.0,60000.0,Халва,2018-03-31 00:00:00.000,2019-02-09 00:00:00.000,,50,3,1,1,EME,100 – 300 тыс,Internet Sales,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,8444.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3682,34405766,15000.0,90000.0,Халва,2018-04-04 00:00:00.000,2019-03-12 00:00:00.000,,33,-1,1,2,UNK,300 – 700 тыс,УРМ,0,0.0,0,0.0,0,0.0,0,0.0,6,6200.0,0,0.0,1,6830.0,16,3363.75,2,1275.0,1,490.0,1,3677.0,11,19289.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22,2709.0,9,63058.06,5,70221.0,5,8410.0
3683,33976897,30000.0,30000.0,Халва + Вклад,2018-04-05 00:00:00.000,2018-10-14 00:00:00.000,,63,3,1,2,PNS,300 – 700 тыс,Call Center,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1016.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,4922.0,0,0.0
3684,34065323,15000.0,75000.0,Халва + Вклад,2018-04-25 00:00:00.000,2019-02-28 00:00:00.000,,36,6,1,3,EME,>700 тыс,Walk In Sales,0,0.0,0,0.0,0,0.0,0,0.0,9,14700.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,23690.0,0,0.0,1,552.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,50210.0,0,0.0
3685,34126802,15000.0,60000.0,Халва + Автокредит,2018-04-10 00:00:00.000,2019-03-04 00:00:00.000,,35,3,1,1,EME,>700 тыс,AutoCred,1,10480.0,0,0.0,0,0.0,0,0.0,18,24725.309999999998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1908.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3686,34177397,45000.0,45000.0,Халва,2018-04-24 00:00:00.000,2019-03-09 00:00:00.000,,47,6,1,2,PNS,>700 тыс,Representative,0,0.0,0,0.0,0,0.0,0,0.0,24,44197.619999999995,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2473.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3687,34185680,15000.0,15000.0,Халва,2018-06-08 00:00:00.000,2019-03-10 00:00:00.000,,33,6,1,1,EME,100 – 300 тыс,Walk In Sales,0,0.0,4,1154.0,0,0.0,0,0.0,4,1720.75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2240.0
3688,34201711,15000.0,30000.0,Халва + Вклад,2018-07-22 00:00:00.000,2019-03-09 00:00:00.000,,44,6,1,1,EME,300 – 700 тыс,Walk In Sales,0,0.0,0,0.0,0,0.0,0,0.0,2,2983.75,0,0.0,0,0.0,1,915.0,0,0.0,2,46354.0,0,0.0,1,4790.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,11399.54,0,0.0,1,9990.0
